"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 10, 2021","375.70","377.85","381.13","373.70","306.18M","-1.46%"
"Jan 03, 2021","381.26","375.31","381.49","364.82","425.08M","1.97%"
"Dec 27, 2020","373.88","371.74","374.66","370.83","220.66M","1.32%"
"Dec 20, 2020","369.00","364.97","378.46","362.03","217.43M","-0.05%"
"Dec 13, 2020","369.18","368.64","372.46","364.47","392.37M","0.79%"
"Dec 06, 2020","366.30","369.02","371.05","363.26","280.94M","-0.96%"
"Nov 29, 2020","369.85","362.83","369.85","359.17","317.94M","1.70%"
"Nov 22, 2020","363.67","357.28","364.18","354.86","199.49M","2.35%"
"Nov 15, 2020","355.33","360.98","362.78","354.15","341.60M","-0.77%"
"Nov 08, 2020","358.10","363.97","364.38","350.51","447.58M","2.27%"
"Nov 01, 2020","350.16","330.20","352.19","327.24","463.34M","7.23%"
"Oct 25, 2020","326.54","342.13","342.98","322.60","495.61M","-5.56%"
"Oct 18, 2020","345.78","348.65","349.33","340.65","296.60M","-0.43%"
"Oct 11, 2020","347.29","349.59","354.02","343.13","361.46M","0.13%"
"Oct 04, 2020","346.85","336.06","347.35","334.38","297.61M","3.90%"
"Sep 27, 2020","333.84","333.22","338.74","331.19","398.33M","1.55%"
"Sep 20, 2020","328.73","325.70","331.20","319.80","403.93M","-0.58%"
"Sep 13, 2020","330.65","337.49","343.06","327.97","398.14M","-1.02%"
"Sep 06, 2020","334.06","336.71","342.64","331.00","381.18M","-2.48%"
"Aug 30, 2020","342.57","350.35","358.75","334.87","477.81M","-2.28%"
"Aug 23, 2020","350.58","342.12","350.72","339.45","244.46M","3.27%"
"Aug 16, 2020","339.48","337.94","339.72","335.22","239.58M","0.78%"
"Aug 09, 2020","336.84","335.06","338.28","332.01","256.79M","0.68%"
"Aug 02, 2020","334.57","328.32","334.88","327.73","238.85M","2.47%"
"Jul 26, 2020","326.52","321.63","326.63","319.64","301.32M","1.76%"
"Jul 19, 2020","320.88","321.43","327.23","319.25","321.10M","-0.26%"
"Jul 12, 2020","321.72","320.13","323.04","312.00","401.25M","1.30%"
"Jul 05, 2020","317.59","316.37","317.88","310.68","340.17M","1.72%"
"Jun 28, 2020","312.23","301.41","315.70","298.93","334.91M","4.06%"
"Jun 21, 2020","300.05","307.99","314.50","299.42","493.36M","-2.78%"
"Jun 14, 2020","308.64","298.02","315.64","296.74","573.19M","1.46%"
"Jun 07, 2020","304.21","320.22","323.41","298.60","650.04M","-4.74%"
"May 31, 2020","319.34","303.62","321.27","303.06","449.93M","4.94%"
"May 24, 2020","304.32","301.93","306.84","295.46","403.80M","3.01%"
"May 17, 2020","295.44","293.05","297.87","291.95","443.62M","3.20%"
"May 10, 2020","286.28","290.34","294.24","272.99","553.23M","-2.11%"
"May 03, 2020","292.44","280.74","292.95","279.13","385.95M","3.41%"
"Apr 26, 2020","282.79","285.12","294.88","281.52","549.99M","-0.06%"
"Apr 19, 2020","282.97","282.61","286.79","272.02","509.90M","-1.28%"
"Apr 12, 2020","286.64","277.14","287.30","271.41","649.24M","3.03%"
"Apr 05, 2020","278.20","257.84","281.20","248.17","733.55M","12.09%"
"Mar 29, 2020","248.19","255.70","263.33","243.90","868.62M","-2.06%"
"Mar 22, 2020","253.42","228.19","262.80","218.26","1.34B","10.76%"
"Mar 15, 2020","228.80","241.18","256.90","228.02","1.52B","-15.05%"
"Mar 08, 2020","269.32","275.30","288.52","247.68","1.56B","-9.46%"
"Mar 01, 2020","297.46","298.21","313.84","290.23","1.13B","0.41%"
"Feb 23, 2020","296.26","323.14","333.56","285.54","1.24B","-11.16%"
"Feb 16, 2020","333.48","336.51","339.08","332.58","294.11M","-1.22%"
"Feb 09, 2020","337.60","331.23","338.12","331.19","260.01M","1.63%"
"Feb 02, 2020","332.20","323.35","334.19","323.22","312.27M","3.25%"
"Jan 26, 2020","321.73","323.03","328.63","320.73","391.28M","-2.14%"
"Jan 19, 2020","328.77","330.90","332.95","327.36","266.20M","-0.96%"
"Jan 12, 2020","331.95","326.39","332.18","325.92","332.25M","1.92%"
"Jan 05, 2020","325.71","320.49","327.46","320.36","268.68M","1.02%"
"Dec 29, 2019","322.41","322.95","324.89","320.15","243.93M","-0.14%"
"Dec 22, 2019","322.86","321.59","323.80","320.90","146.86M","0.66%"
"Dec 15, 2019","320.73","319.22","321.97","317.25","426.89M","1.07%"
"Dec 08, 2019","317.32","314.44","318.67","312.81","319.66M","0.78%"
